LocationID,Location,2099,Percent,CumPercent
356,India,1522468.414,0.1362483095375224,0.1362483095375224
156,China,1025679.938,0.09178985678388646,0.22803816632140886
566,Nigeria,788106.542,0.0705290061163544,0.29856717243776326
840,United States of America,446784.43200000003,0.039983505094695594,0.3385506775324589
180,Democratic Republic of the Congo,376574.633,0.03370030976613935,0.37225098729859823
586,Pakistan,352340.88899999997,0.03153159045255425,0.4037825777511525
360,Indonesia,306825.175,0.027458311143198844,0.43124088889435136
834,United Republic of Tanzania,300831.773,0.02692195131900166,0.458162840213353
231,Ethiopia,249454.608,0.022324120706746765,0.4804869609200998
800,Uganda,212189.629,0.018989213823285292,0.49947617474338507
818,Egypt,198458.20899999997,0.017760365496879402,0.5172365402402644
76,Brazil,191411.294,0.01712972498744378,0.5343662652277082
562,Niger,189803.421,0.01698583367502866,0.551352098902737
50,Bangladesh,174558.03699999998,0.015621498113679935,0.5669735970164169
608,Philippines,173149.07,0.015495407240346289,0.5824690042567632
24,Angola,171081.104,0.015310341416260776,0.5977793456730239
368,Iraq,154332.081,0.01381144262192751,0.6115907882949514
484,Mexico,152142.826,0.013615522437210582,0.6252063107321619
404,Kenya,141753.991,0.012685807775285092,0.637892118507447
729,Sudan,137791.396,0.012331188352532432,0.6502233068599794
508,Mozambique,134002.393,0.011992103975585483,0.6622154108355649
643,Russian Federation,124109.84800000001,0.011106803156941458,0.6733222139925064
704,Viet Nam,107854.349,0.00965207067180572,0.6829742846643121
384,Côte d'Ivoire,102642.899,0.009185689073205723,0.6921599737375178
450,Madagascar,97334.05900000001,0.00871059187647322,0.7008705656139911
894,Zambia,93345.07699999999,0.008353611035834508,0.7092241766498256
120,Cameroon,91019.17,0.008145461629267253,0.7173696382790928
792,Turkey,86136.45300000001,0.007708498910643574,0.7250781371897365
392,Japan,84807.399,0.007589559588737823,0.7326676967784743
466,Mali,82710.868,0.007401937433810797,0.7400696342122851
854,Burkina Faso,81169.984,0.007264041081897768,0.7473336752941829
826,United Kingdom,80915.58,0.007241274031612294,0.7545749493257953
706,Somalia,78232.788,0.00700118637430554,0.7615761357001009
710,South Africa,76602.773,0.0068553135363349236,0.7684314492364358
288,Ghana,76475.504,0.006843924015247275,0.775275373251683
454,Malawi,75278.782,0.006736827310982669,0.7820122005626657
250,France,74198.87400000001,0.006640184491924456,0.7886523850545902
364,Iran (Islamic Republic of),72882.793,0.006522406146038554,0.7951747912006288
276,Germany,71127.058,0.006365282409646962,0.8015400736102758
4,Afghanistan,70604.652,0.0063185314007342345,0.80785860501101
686,Senegal,64308.734000000004,0.0057550989008552204,0.8136137039118653
12,Algeria,62623.54,0.0056042879995377125,0.819217991911403
148,Chad,61319.629,0.005487598767824443,0.8247055906792274
32,Argentina,57825.825999999994,0.0051749323451717325,0.8298805230243992
104,Myanmar,54940.855,0.004916751342400024,0.8347972743667992
108,Burundi,54016.905999999995,0.004834065561735358,0.8396313399285346
887,Yemen,53689.710999999996,0.004804784320016848,0.8444361242485514
124,Canada,51532.102999999996,0.004611696279607338,0.8490478205281587
324,Guinea,48027.664000000004,0.004298078023072944,0.8533458985512317
380,Italy,47896.799000000006,0.004286366689777837,0.8576322652410096
764,Thailand,47806.874,0.004278319147298468,0.861910584388308
170,Colombia,45061.774000000005,0.004032655440207956,0.865943239828516
682,Saudi Arabia,44149.619000000006,0.0039510251248310495,0.869894264953347
204,Benin,44019.833,0.0039394103530965225,0.8738336753064435
504,Morocco,43983.706,0.003936177285905506,0.877769852592349
728,South Sudan,42576.185999999994,0.003810215907083591,0.8815800684994326
458,Malaysia,41883.864,0.003748258823909821,0.8853283273233424
862,Venezuela (Bolivarian Republic of),41753.393,0.003736582750350458,0.8890649100736929
36,Australia,41719.156,0.00373351882250096,0.8927984288961939
604,Peru,40911.854,0.003661271981926269,0.8964597008781201
716,Zimbabwe,40642.628,0.003637178485439747,0.9000968793635599
410,Republic of Korea,38824.974,0.003474513511541566,0.9035713928751015
860,Uzbekistan,38270.744,0.00342491451828785,0.9069963073933893
760,Syrian Arab Republic,38247.683,0.003422850749846185,0.9104191581432355
724,Spain,36481.117999999995,0.00326475781818018,0.9136839159614156
320,Guatemala,32051.97,0.002868385767277653,0.9165523017286933
524,Nepal,29552.411,0.002644695945401782,0.919196997674095
804,Ukraine,28287.549,0.002531501275671018,0.921728498949766
646,Rwanda,28193.996,0.002523129057249307,0.9242516280070153
398,Kazakhstan,25746.85,0.00230412976463639,0.9265557577716517
768,Togo,25125.363999999998,0.002248511916592656,0.9288042696882444
218,Ecuador,24370.671000000002,0.0021809731456570764,0.9309852428339015
408,Dem. People's Republic of Korea,23655.802000000003,0.0021169982927831967,0.9331022411266847
178,Congo,23367.025,0.0020911551437749723,0.9351933962704597
116,Cambodia,22804.616,0.002040824197783545,0.9372342204682432
616,Poland,21383.199,0.0019136191525970397,0.9391478396208403
598,Papua New Guinea,18918.517,0.0016930505332683238,0.9408408901541085
762,Tajikistan,18900.788,0.001691463934651513,0.94253235408876
152,Chile,18813.252,0.0016836301878794919,0.9442159842766396
68,Bolivia (Plurinational State of),17965.819,0.0016077919552865685,0.9458237762319261
430,Liberia,17683.119,0.0015824926474309392,0.9474062688793571
400,Jordan,17323.206000000002,0.0015502834157781517,0.9489565522951352
376,Israel,17075.416,0.0015281082636962756,0.9504846605588315
158,"China, Taiwan Province of China",16944.933999999997,0.0015164312057280467,0.9520010917645596
528,Netherlands,16500.797,0.0014766846238636123,0.9534777763884232
694,Sierra Leone,16497.057,0.0014763499248491802,0.9549541263132724
