LocationID,Location,2020,Percent,CumPercent
156,China,1424548.2659999998,0.18274023460425762,0.18274023460425762
356,India,1383197.753,0.17743581451055027,0.3601760491148079
840,United States of America,331431.534,0.042515847110236836,0.4026918962250447
360,Indonesia,272222.98699999996,0.03492060865633862,0.4376125048813833
76,Brazil,213863.046,0.027434228893456914,0.46504673377484024
586,Pakistan,208362.33399999997,0.02672860071267721,0.4917753344875174
566,Nigeria,206152.701,0.026445150258630395,0.5182204847461478
50,Bangladesh,169775.30899999998,0.021778679274788666,0.5399991640209365
643,Russian Federation,143786.842,0.01844489363204583,0.5584440576529823
484,Mexico,133870.027,0.017172770290998556,0.5756168279439808
392,Japan,126495.647,0.016226789053700872,0.5918436169976817
231,Ethiopia,112759.07,0.01446466883387292,0.6063082858315546
608,Philippines,109703.396,0.014072688725538612,0.6203809745570932
818,Egypt,102941.484,0.013205274532039221,0.6335862490891324
704,Viet Nam,98360.145,0.012617582992452149,0.6462038320815846
180,Democratic Republic of the Congo,89505.201,0.01148167585431692,0.6576855079359015
792,Turkey,83835.75,0.010754401931386643,0.6684399098672882
364,Iran (Islamic Republic of),83587.129,0.01072250897208726,0.6791624188393754
276,Germany,82540.45,0.010588241590222819,0.6897506604295983
764,Thailand,69410.868,0.008903986340891843,0.6986546467704902
826,United Kingdom,67334.208,0.008637593587026895,0.707292240357517
250,France,65721.165,0.008430673356044171,0.7157229137135612
834,United Republic of Tanzania,62774.619000000006,0.008052692124966506,0.7237756058385277
380,Italy,59132.073,0.007585428413034963,0.7313610342515627
710,South Africa,58721.22900000001,0.007532725580328171,0.7388937598318909
104,Myanmar,54808.276,0.007030774213511207,0.745924534045402
404,Kenya,53491.697,0.006861884214430587,0.7527864182598326
410,Republic of Korea,51506.975,0.006607285214480499,0.7593937034743131
170,Colombia,50220.412000000004,0.00644224565066613,0.7658359491249792
800,Uganda,47187.703,0.00605321147936172,0.771889160604341
724,Spain,46459.219000000005,0.00595976196961696,0.777848922573958
32,Argentina,45510.399000000005,0.005838047884151771,0.7836869704581098
804,Ukraine,43579.234000000004,0.005590319145447503,0.7892772896035573
729,Sudan,43541.203,0.005585440550577742,0.794862730154135
12,Algeria,43333.255,0.005558765100392969,0.800421495254528
368,Iraq,41502.885,0.0053239662864841995,0.8057454615410122
4,Afghanistan,38054.941,0.004881666007511172,0.8106271275485234
616,Poland,37942.231,0.004867207633348758,0.8154943351818722
124,Canada,37603.205,0.00482371757249536,0.8203180527543675
504,Morocco,37070.718,0.004755410445509101,0.8250734631998766
682,Saudi Arabia,34709.64,0.00445253271371384,0.8295259959135904
604,Peru,33312.178,0.004273267089778474,0.8337992630033689
860,Uzbekistan,33235.825,0.0042634725707258354,0.8380627355740947
862,Venezuela (Bolivarian Republic of),33172.392,0.004255335421863761,0.8423180709959585
458,Malaysia,32869.323,0.0042164579043495335,0.846534528900308
24,Angola,32827.401,0.004211080174231206,0.8507456090745392
508,Mozambique,32309.195,0.004144605005734996,0.8548902140802742
288,Ghana,30733.755,0.003942508466027487,0.8588327225463017
524,Nepal,30260.244,0.003881766746499328,0.862714489292801
887,Yemen,30245.305,0.003879850380146633,0.8665943396729476
450,Madagascar,27690.798,0.00355215968716016,0.8701464993601078
384,Côte d'Ivoire,26171.75,0.0033572970808726393,0.8735037964409804
120,Cameroon,25958.183999999997,0.0033299009568697104,0.8768336973978501
408,Dem. People's Republic of Korea,25840.862999999998,0.0033148510862716397,0.8801485484841217
36,Australia,25398.177000000003,0.0032580635800657817,0.8834066120641875
562,Niger,24074.693,0.0030882878115450806,0.8864948998757326
158,"China, Taiwan Province of China",23817.905,0.003055347194169356,0.8895502470699019
144,Sri Lanka,21084.042,0.002704648816361005,0.8922548958862629
854,Burkina Faso,20903.345,0.002681469108828171,0.8949363649950911
466,Mali,20284.18,0.002602042977710515,0.8975384079728016
454,Malawi,20283.691000000003,0.00260198024907095,0.9001403882218726
642,Romania,19388.362,0.0024871279584094304,0.902627516180282
760,Syrian Arab Republic,18924.442,0.0024276165668609693,0.905055132747143
398,Kazakhstan,18777.139,0.0024087206224971502,0.9074638533696402
894,Zambia,18679.273,0.002396166428141913,0.9098600197977821
152,Chile,18472.639,0.0023696595371235805,0.9122296793349056
320,Guatemala,17910.811999999998,0.002297588691763395,0.9145272680266691
716,Zimbabwe,17680.465,0.0022680399107041322,0.9167953079373732
218,Ecuador,17335.642,0.002223806214015231,0.9190191141513884
686,Senegal,17200.154,0.002206425891075677,0.921225540042464
528,Netherlands,17181.248,0.002204000640238,0.923429540682702
116,Cambodia,16715.508,0.0021442557801332834,0.9255737964628353
148,Chad,16285.093,0.00208904239077018,0.9276628388536056
706,Somalia,16105.173999999999,0.002065962484631174,0.9297288013382368
324,Guinea,13750.826000000001,0.001763948073376354,0.9314927494116131
728,South Sudan,13610.007,0.0017458838928140527,0.9332386333044271
646,Rwanda,13087.173,0.0016788150471319352,0.9349174483515591
204,Benin,12122.985,0.0015551295634400756,0.9364725779149992
108,Burundi,11939.226999999999,0.0015315571925826816,0.9380041351075818
788,Tunisia,11903.136,0.0015269274598003581,0.9395310625673822
56,Belgium,11619.972,0.0014906033442708953,0.941021665911653
68,Bolivia (Plurinational State of),11543.982,0.0014808553906500823,0.9425025213023032
192,Cuba,11495.492,0.0014746351212584095,0.9439771564235616
332,Haiti,11371.185,0.0014586890905867104,0.9454358455141483
214,Dominican Republic,11108.358,0.0014249737937542667,0.9468608193079026
300,Greece,11102.572,0.0014242315689924556,0.948285050876895
203,Czechia,10633.423999999999,0.0013640495326021783,0.9496491004094971
620,Portugal,10218.413,0.0013108121595250997,0.9509599125690222
400,Jordan,10208.662,0.00130956130683716,0.9522694738758594
752,Sweden,10121.686,0.001298404075436662,0.953567877951296
31,Azerbaijan,10099.743,0.0012955892399806614,0.9548634671912767
784,United Arab Emirates,9813.17,0.0012588278198862116,0.9561222950111629
340,Honduras,9719.265,0.001246781740339397,0.9573690767515023
348,Hungary,9621.254,0.0012342089454673152,0.9586032856969696
762,Tajikistan,9475.246,0.0012154791229608318,0.9598187648199304
112,Belarus,9415.431,0.001207806089063886,0.9610265709089943
40,Austria,8782.21,0.0011265768623271465,0.9621531477713215
598,Papua New Guinea,8755.675,0.0011231729677445928,0.9632763207390661
376,Israel,8713.559000000001,0.0011177703514175215,0.9643940910904836
688,Serbia,8703.942,0.0011165366881727343,0.9655106277786563
756,Switzerland,8670.535,0.001112251257371175,0.9666228790360274
768,Togo,8384.291,0.0010755320412080484,0.9676984110772354
694,Sierra Leone,8046.931,0.0010322556938792227,0.9687306667711146
