,Index,Variant,Location,Country Code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
47,82,Estimates,Dem. People's Republic of Korea,408,3.462,5.117,3.8501,4.388,4.001,2.85,2.801,2.358,2.25,2.01,2.0,1.999,1.95
48,41,Estimates,Democratic Republic of the Congo,180,5.98,5.98,6.04,6.15,6.289,6.462,6.5975,6.7069,6.7689,6.77,6.7167,6.6334,6.4
49,148,Estimates,Denmark,208,2.5501,2.5468,2.5823,2.2723,1.9639,1.6816,1.4273,1.5426,1.748,1.756,1.76,1.8537,1.73
50,17,Estimates,Djibouti,262,6.312,6.3874,6.547,6.707,6.845,6.644,6.45,6.181,5.85,4.812,4.21,3.55,3.1
51,187,Estimates,Dominican Republic,214,7.5995,7.6405,7.3505,6.6495,5.6795,4.76,4.15,3.6495,3.3095,2.98,2.83,2.67,2.5262
52,213,Estimates,Ecuador,218,6.75,6.75,6.65,6.4,5.8001,5.05,4.45,4.0,3.55,3.2,2.884,2.7294,2.5863
53,47,Estimates,Egypt,818,6.75,6.75,6.65,6.45,6.0,5.7,5.49,5.15,4.12,3.405,3.15,2.981,3.381
54,201,Estimates,El Salvador,222,6.3616,6.5973,6.6665,6.3622,5.9472,5.4428,4.7457,4.1669,3.7818,3.3395,2.7225,2.3952,2.17
55,42,Estimates,Equatorial Guinea,226,5.666,5.6526,5.6731,5.7928,5.8037,5.7921,5.8925,5.9823,5.9703,5.9361,5.692,5.4005,4.9942
56,18,Estimates,Eritrea,232,6.965,6.965,6.815,6.699,6.62,6.62,6.7,6.51,6.2,5.6,5.1,4.8,4.4
57,149,Estimates,Estonia,233,2.06,1.99,1.94,2.02,2.15,2.06,2.09,2.199,1.627,1.331,1.391,1.662,1.5908
58,19,Estimates,Ethiopia,231,7.1696,6.9023,6.8972,6.8691,7.1038,7.1838,7.4247,7.3673,7.0888,6.8335,6.131,5.258,4.63
59,229,Estimates,Fiji,242,6.625,6.792,5.953,5.0,4.2,4.0,3.8,3.47,3.35,3.19,2.98,2.75,2.605
60,150,Estimates,Finland,246,2.997,2.769,2.66,2.191,1.623,1.663,1.685,1.66,1.819,1.743,1.754,1.8396,1.77
61,174,Estimates,France,250,2.7472,2.6894,2.8318,2.6391,2.3004,1.87,1.8653,1.805,1.7149,1.7621,1.8823,1.978,1.9821
62,214,Estimates,French Guiana,254,5.0,4.92,5.02,5.0,4.18,3.3,3.58,3.73,4.05,3.9265,3.724,3.6397,3.4543
63,239,Estimates,French Polynesia,258,6.0,5.861,5.4381,5.199,4.8575,4.229,3.815,3.6447,3.1095,2.6133,2.3608,2.1673,2.0708
64,43,Estimates,Gabon,266,3.987,4.201,4.587,4.933,5.228,5.572,5.721,5.577,5.217,4.766,4.35,4.15,4.0
