,Index,Variant,Location,Country Code,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
75,67,High variant,Guinea-Bissau,624,4.7635,4.5678,4.3526,4.0821,3.8499,3.6491,3.4804,3.3312,3.2001,3.0868,2.9818,2.8908,2.8039,2.7254,2.6529,2.5905,2.5369
76,215,High variant,Guyana,328,2.7228,2.7591,2.7587,2.669,2.5905,2.5269,2.4733,2.4303,2.3957,2.3719,2.3541,2.3408,2.3324,2.3262,2.321,2.3185,2.3183
77,190,High variant,Haiti,332,3.0979,3.028,2.9578,2.8202,2.7034,2.6091,2.5254,2.4599,2.4045,2.3645,2.3352,2.3141,2.299,2.2897,2.2858,2.2837,2.2825
78,203,High variant,Honduras,340,2.6648,2.644,2.6163,2.5132,2.431,2.3694,2.3201,2.2851,2.2607,2.2513,2.2424,2.2412,2.242,2.2463,2.2511,2.257,2.2612
79,139,High variant,Hungary,348,1.6468,1.8499,1.9954,2.0332,2.0666,2.0966,2.1205,2.1405,2.1579,2.1733,2.1874,2.1984,2.2075,2.2165,2.2246,2.2308,2.2376
80,151,High variant,Iceland,352,2.1712,2.2763,2.3425,2.3158,2.297,2.2849,2.2792,2.2749,2.2744,2.2755,2.2774,2.2804,2.2829,2.2864,2.2893,2.294,2.298
81,97,High variant,India,356,2.5529,2.5905,2.5974,2.5192,2.454,2.4004,2.3604,2.3286,2.3046,2.2899,2.2797,2.2728,2.2693,2.2698,2.2697,2.2712,2.2756
82,106,High variant,Indonesia,360,2.5695,2.609,2.6159,2.5418,2.4814,2.4323,2.3957,2.3684,2.3493,2.335,2.3275,2.3202,2.3168,2.3156,2.3146,2.3149,2.3164
83,98,High variant,Iran (Islamic Republic of),364,1.8715,1.93,1.9981,2.019,2.0544,2.091,2.1203,2.1465,2.1698,2.1911,2.2092,2.2261,2.2398,2.2528,2.2619,2.2703,2.2782
84,121,High variant,Iraq,368,4.516,4.4127,4.2872,4.0818,3.9039,3.7488,3.6099,3.4868,3.3682,3.2677,3.1685,3.0802,2.9951,2.9159,2.8396,2.7659,2.7005
85,152,High variant,Ireland,372,2.23,2.3664,2.4567,2.4485,2.4423,2.4369,2.4333,2.4301,2.4268,2.4253,2.4217,2.421,2.42,2.4174,2.4161,2.4159,2.4144
86,122,High variant,Israel,376,3.1702,3.2077,3.2053,3.1137,3.0277,2.9485,2.8674,2.7974,2.7295,2.6657,2.6111,2.5622,2.5232,2.4893,2.4604,2.4365,2.4158
87,163,High variant,Italy,380,1.7413,1.9423,2.0846,2.1203,2.1498,2.1737,2.1941,2.2112,2.2258,2.2388,2.2487,2.2577,2.2658,2.2711,2.2769,2.2812,2.2857
88,191,High variant,Jamaica,388,2.241,2.3165,2.3622,2.3218,2.2939,2.2773,2.2666,2.2629,2.2624,2.2631,2.2671,2.2713,2.2777,2.2826,2.286,2.2907,2.2954
89,83,High variant,Japan,392,1.7276,1.9347,2.0809,2.1192,2.1508,2.1755,2.1964,2.2145,2.2291,2.2431,2.2534,2.2604,2.2697,2.2763,2.2818,2.2874,2.2909
90,123,High variant,Jordan,400,3.5145,3.3992,3.2835,3.1048,2.9533,2.8211,2.7087,2.608,2.5276,2.4597,2.4094,2.3717,2.3441,2.3246,2.3125,2.3048,2.301
91,88,High variant,Kazakhstan,398,2.8209,2.8581,2.8591,2.7751,2.702,2.6404,2.5863,2.5399,2.5002,2.4685,2.4413,2.4184,2.3993,2.3856,2.3752,2.3641,2.3555
92,20,High variant,Kenya,404,4.0237,3.8949,3.7618,3.564,3.3926,3.2416,3.1118,2.9917,2.883,2.7867,2.6999,2.6176,2.5472,2.4911,2.4432,2.4059,2.3766
93,236,High variant,Kiribati,296,3.8336,3.7999,3.7381,3.5948,3.4665,3.3529,3.2527,3.1583,3.0691,2.9886,2.9104,2.834,2.7667,2.7024,2.6408,2.5873,2.5413
94,124,High variant,Kuwait,414,2.2166,2.3132,2.3793,2.3542,2.3366,2.3264,2.321,2.3179,2.3156,2.3159,2.317,2.3192,2.3211,2.3234,2.3255,2.3275,2.3288
95,89,High variant,Kyrgyzstan,417,3.1587,3.1438,3.1088,2.9974,2.901,2.8153,2.7384,2.6696,2.6103,2.5583,2.5143,2.4779,2.4481,2.4238,2.4053,2.3895,2.3757
96,107,High variant,Lao People's Democratic Republic,418,2.8727,2.7942,2.7194,2.5778,2.465,2.3771,2.313,2.2704,2.2441,2.2334,2.2318,2.2339,2.2391,2.2466,2.2544,2.2613,2.2687
97,153,High variant,Latvia,428,1.8202,2.0253,2.1689,2.2031,2.2287,2.2502,2.2674,2.2815,2.2929,2.3009,2.3085,2.3131,2.3186,2.3227,2.325,2.328,2.3298
98,125,High variant,Lebanon,422,1.9538,2.0945,2.1897,2.1877,2.1889,2.1948,2.2019,2.2097,2.2206,2.2283,2.2382,2.2472,2.257,2.2637,2.2706,2.2779,2.2845
