,Index,Variant,Location,Country Code,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
40,16,Momentum,Comoros,174,2.322945,2.3222,2.321515,2.3209,2.32033,2.31982,2.319375,2.31899,2.318655,2.318385,2.31819,2.318065,2.318,2.318035,2.318135,2.318295,2.318525
41,40,Momentum,Congo,178,2.28468,2.28259,2.280805,2.279305,2.27806,2.2771,2.276355,2.27581,2.27548,2.27535,2.275405,2.27564,2.276035,2.2766,2.27733,2.278215,2.27924
42,200,Momentum,Costa Rica,188,2.08634,2.08674,2.0871,2.087405,2.08768,2.087935,2.088155,2.08835,2.08852,2.088675,2.0888,2.088915,2.089015,2.089085,2.089155,2.08921,2.089245
43,161,Momentum,Croatia,191,2.078785,2.07918,2.07946,2.07964,2.079755,2.079815,2.079855,2.079865,2.079865,2.079865,2.079865,2.07986,2.079855,2.079855,2.07986,2.07986,2.079855
44,185,Momentum,Cuba,192,2.08279,2.084015,2.08457,2.084955,2.08526,2.085505,2.085695,2.08586,2.086,2.086125,2.086235,2.08633,2.086415,2.086485,2.08655,2.086605,2.08666
45,119,Momentum,Cyprus,196,2.085195,2.085285,2.08535,2.085425,2.08547,2.08552,2.08556,2.085585,2.08561,2.08562,2.085625,2.08564,2.08564,2.085635,2.085635,2.08564,2.08563
46,138,Momentum,Czechia,203,2.07382,2.074205,2.07445,2.07459,2.074675,2.074715,2.07475,2.07476,2.07476,2.07477,2.07476,2.074755,2.074765,2.074765,2.07476,2.07476,2.074755
47,82,Momentum,Dem. People's Republic of Korea,408,2.146485,2.14704,2.14766,2.14819,2.148645,2.14904,2.14938,2.14968,2.149925,2.150135,2.150325,2.150485,2.15064,2.150765,2.15089,2.15102,2.151125
48,41,Momentum,Democratic Republic of the Congo,180,2.47874,2.47674,2.47507,2.473715,2.47268,2.47189,2.471365,2.47105,2.470975,2.47108,2.4714,2.471865,2.47249,2.473255,2.474125,2.475115,2.476185
49,148,Momentum,Denmark,208,2.07203,2.07211,2.072165,2.072205,2.07223,2.07225,2.07226,2.07225,2.07226,2.07225,2.07226,2.07226,2.072255,2.07226,2.072265,2.072265,2.072265
50,17,Momentum,Djibouti,262,2.388815,2.389065,2.38896,2.388555,2.38788,2.386995,2.385975,2.384885,2.38378,2.38271,2.38171,2.38079,2.37998,2.379255,2.378635,2.378095,2.377605
51,187,Momentum,Dominican Republic,214,2.129865,2.130155,2.130635,2.13129,2.132075,2.132915,2.13379,2.13468,2.13555,2.13638,2.137195,2.13796,2.13866,2.13932,2.139915,2.14047,2.14097
52,213,Momentum,Ecuador,218,2.1301,2.12998,2.129975,2.13009,2.130285,2.130545,2.13086,2.131195,2.131545,2.131905,2.13226,2.132615,2.13296,2.13329,2.13361,2.1339,2.134175
53,47,Momentum,Egypt,818,2.13134,2.131205,2.131105,2.13105,2.13104,2.13109,2.13116,2.131275,2.131435,2.131605,2.131815,2.132065,2.132315,2.132585,2.132865,2.13317,2.13347
54,201,Momentum,El Salvador,222,2.11626,2.116335,2.116675,2.11717,2.11771,2.118275,2.11883,2.11939,2.11993,2.120445,2.120945,2.12141,2.121845,2.122265,2.122635,2.12299,2.123305
55,42,Momentum,Equatorial Guinea,226,2.46503,2.46128,2.458385,2.456215,2.454725,2.453845,2.45349,2.45363,2.45421,2.45516,2.456455,2.458025,2.45983,2.461865,2.46405,2.46636,2.468785
56,18,Momentum,Eritrea,232,2.24966,2.248455,2.247455,2.24666,2.246025,2.24555,2.2452,2.24498,2.24486,2.244845,2.244915,2.24509,2.24531,2.245615,2.245965,2.24637,2.24684
57,149,Momentum,Estonia,233,2.08342,2.08404,2.084385,2.084575,2.084685,2.08475,2.08479,2.08479,2.084785,2.084785,2.08478,2.08479,2.08479,2.084785,2.084775,2.08479,2.08478
58,19,Momentum,Ethiopia,231,2.309875,2.309125,2.30842,2.307775,2.307185,2.30668,2.30628,2.30596,2.305745,2.30562,2.305595,2.305655,2.30579,2.305985,2.306255,2.306555,2.30691
59,229,Momentum,Fiji,242,2.129845,2.13042,2.131015,2.13162,2.132205,2.13274,2.133225,2.13366,2.13402,2.1343,2.134535,2.134695,2.1348,2.134855,2.134885,2.13488,2.134845
60,150,Momentum,Finland,246,2.06499,2.064975,2.064975,2.064975,2.06498,2.06497,2.06498,2.064975,2.064985,2.064975,2.064985,2.06498,2.06498,2.064975,2.06498,2.06498,2.06498
61,174,Momentum,France,250,2.06915,2.069245,2.06926,2.06925,2.06925,2.069255,2.06925,2.06925,2.069245,2.069255,2.06925,2.06925,2.069255,2.06925,2.069245,2.06925,2.069245
62,214,Momentum,French Guiana,254,2.080335,2.08067,2.08096,2.081215,2.081435,2.08161,2.08177,2.081895,2.08199,2.082055,2.08211,2.082135,2.082145,2.082145,2.082135,2.082105,2.082065
